id|folder|signer|annotation
01April_2010_Thursday_heute_default-0|01April_2010_Thursday_heute_default-0/1/*.png|Signer04|__ON__ LIEB ZUSCHAUER ABEND WINTER GESTERN loc-NORD SCHOTTLAND loc-REGION UEBERSCHWEMMUNG AMERIKA IX
01April_2010_Thursday_heute_default-2|01April_2010_Thursday_heute_default-2/1/*.png|Signer04|loc-WEST WARM loc-WEST BLEIBEN KUEHL
01April_2010_Thursday_heute_default-3|01April_2010_Thursday_heute_default-3/1/*.png|Signer04|KUEHL KUEHL IN-KOMMEND NACHT MINUS loc-MINUS-PLUSPLUS TEIL MINUS FUENF ALPEN KUESTE NULL
01April_2010_Thursday_heute_default-4|01April_2010_Thursday_heute_default-4/1/*.png|Signer04|MORGEN TEMPERATUR ACHT BIS DREIZEHN MAXIMAL DREIZEHN
01April_2010_Thursday_heute_default-6|01April_2010_Thursday_heute_default-6/1/*.png|Signer04|AUCH SAMSTAG WEST FREUNDLICH IX TROCKEN WEST REGEN REGEN
01April_2010_Thursday_heute_default-7|01April_2010_Thursday_heute_default-7/1/*.png|Signer04|SONNTAG SUED SCHNEE DABEI MONTAG __EMOTION__ SCHAUER KOMMEN
01April_2010_Thursday_heute_default-8|01April_2010_Thursday_heute_default-8/1/*.png|Signer04|DANN FREUNDLICH KLAR MONTAG MEHR MEHR WARM AB DIENSTAG JETZT WUENSCHEN SCHOEN ABEND __OFF__
01April_2010_Thursday_tagesschau_default-0|01April_2010_Thursday_tagesschau_default-0/1/*.png|Signer04|__ON__ WETTER WIE-AUSSEHEN MORGEN FREITAG ZWEITE APRIL __OFF__
01April_2010_Thursday_tagesschau_default-2|01April_2010_Thursday_tagesschau_default-2/1/*.png|Signer04|HEUTE NACHT OST REGEN loc-NORD __EMOTION__ REGEN-PLUSPLUS MORGEN UEBERWIEGEND FREUNDLICH
01April_2010_Thursday_tagesschau_default-3|01April_2010_Thursday_tagesschau_default-3/1/*.png|Signer04|IX SCHAUER ABEND WEST loc-SUED BISSCHEN REGEN REGEN
01April_2010_Thursday_tagesschau_default-4|01April_2010_Thursday_tagesschau_default-4/1/*.png|Signer04|HIER WIND SCHWACH MAESSIG MAESSIG loc-WEST NORD WIND __OFF__
01April_2010_Thursday_tagesschau_default-5|01April_2010_Thursday_tagesschau_default-5/1/*.png|Signer04|__ON__ HEUTE NACHT FLUSS DREI MINUS SECHS ALPEN VORSICHT GLATT
01April_2010_Thursday_tagesschau_default-6|01April_2010_Thursday_tagesschau_default-6/1/*.png|Signer04|MORGEN SIEBEN loc-LAND VIERZEHN FLUSS
01April_2010_Thursday_tagesschau_default-9|01April_2010_Thursday_tagesschau_default-9/1/*.png|Signer04|OSTERN MONTAG AUCH REGEN REGEN HOCH __EMOTION__ SCHNEE __OFF__
01April_2011_Friday_tagesschau_default-2|01April_2011_Friday_tagesschau_default-2/1/*.png|Signer08|__ON__ WOCHENENDE IX HOCH DRUCK DAZU WARM cl-KOMMEN VIEL SONNE UND AEHNLICH SOMMER TEMPERATUR TEMPERATUR __OFF__
01April_2011_Friday_tagesschau_default-4|01April_2011_Friday_tagesschau_default-4/1/*.png|Signer08|__ON__ REGION TIEF __LEFTHAND__ SONNTAG cl-KOMMEN REGEN REGEN UND GEWITTER __OFF__
01April_2011_Friday_tagesschau_default-7|01April_2011_Friday_tagesschau_default-7/1/*.png|Signer08|KLAR IX REGION KOENNEN NEBEL NORDOSTRAUM TAG ANFANG WOLKE WESTRAUM IX EINFACH VERSCHWINDEN MEHR SONNE __OFF__
01April_2011_Friday_tagesschau_default-9|01April_2011_Friday_tagesschau_default-9/1/*.png|Signer08|__ON__ WIND SCHWACH MAESSIG NORD SEE IX KOENNEN FRISCH WEHEN WEHEN WEHEN __OFF__
01April_2011_Friday_tagesschau_default-10|01April_2011_Friday_tagesschau_default-10/1/*.png|Signer08|__ON__ BERG ALLGAEU HEUTE ABEND VIER GRAD FLUSS ELF GRAD __OFF__
01April_2011_Friday_tagesschau_default-11|01April_2011_Friday_tagesschau_default-11/1/*.png|Signer08|__ON__ RUEGEN MORGEN VIERZEHN GRAD FLUSS SOMMER FUENF ZWANZIG BIS SECHS ZWANZIG GRAD __OFF__
01April_2011_Friday_tagesschau_default-12|01April_2011_Friday_tagesschau_default-12/1/*.png|Signer08|__ON__ SONNTAG WEST NORDWESTRAUM WOLKE KOENNEN REGEN REGEN ODER GEWITTER KOENNEN
01April_2011_Friday_tagesschau_default-13|01April_2011_Friday_tagesschau_default-13/1/*.png|Signer08|SUEDOSTRAUM DURCHGEHEND SONNE TROCKEN WARM __OFF__
01August_2011_Monday_heute_default-0|01August_2011_Monday_heute_default-0/1/*.png|Signer07|__ON__ GUT ABEND LIEB ZUSCHAUER SOMMER KOENNEN SCHOEN WEST SUEDWESTRAUM SCHON WETTER BESONDERS BLAU HIMMEL WIE MAINZ ZEIGEN-BILDSCHIRM
01August_2011_Monday_heute_default-1|01August_2011_Monday_heute_default-1/1/*.png|Signer07|__EMOTION__ KOMMEN ALLE KOMMEN WARM SONNE AUS FRANKREICH cl-KOMMEN SCHON DREISSIG GRAD cl-KOMMEN
01August_2011_Monday_heute_default-2|01August_2011_Monday_heute_default-2/1/*.png|Signer07|IN-KOMMEND TAG AUCH BEI-UNS __EMOTION__ AM MITTWOCH WIEDER WARM DRUCK WEST SCHON ANFANG REGEN REGEN GEWITTER GEWITTER
01August_2011_Monday_heute_default-3|01August_2011_Monday_heute_default-3/1/*.png|Signer07|ABER HEUTE ABEND RUHIG BISSCHEN NEBEL MORGEN FRUEH BAYERN NIEDERSACHSEN REGION S REGION
01August_2011_Monday_heute_default-4|01August_2011_Monday_heute_default-4/1/*.png|Signer07|NORD KUESTE AUCH VIELLEICHT BISSCHEN ABER NACHT ENORM MILD IX MORGEN NEBEL ACH __PU__ NICHT-HABEN
01August_2011_Monday_heute_default-5|01August_2011_Monday_heute_default-5/1/*.png|Signer07|SONNE MACHEN NEBEL VERSCHWINDEN DANN NORD DEUTSCH LAND SONNE ABER NORDWESTRAUM MUENSTER LAND BIS IX HESSEN REGION
01August_2011_Monday_heute_default-7|01August_2011_Monday_heute_default-7/1/*.png|Signer07|WARM SUEDWESTRAUM SCHON DREISSIG GRAD SCHON MEISTENS REST VIER ZWANZIG GRAD BIS DREI ZWANZIG GRAD BISSCHEN KUEHL MEISTENS NORD KUESTE BISSCHEN KUEHL IX
01August_2011_Monday_heute_default-8|01August_2011_Monday_heute_default-8/1/*.png|Signer07|GLEICH DONNERSTAG FREITAG UEBERALL cl-KOMMEN IHR SCHOEN ABEND MACHEN GUT __OFF__
01December_2011_Thursday_heute_default-0|01December_2011_Thursday_heute_default-0/1/*.png|Signer05|__ON__ ABEND LIEB ZUSCHAUER poss-EUCH DEZEMBER ANFANG REGEN REGEN HEUTE LEUTE NACH-HAUSE NACH-HAUSE NACH-HAUSE NACH-HAUSE DAS-IST-ES __LEFTHAND__
01December_2011_Thursday_heute_default-1|01December_2011_Thursday_heute_default-1/1/*.png|Signer05|HEUTE VOR MITTAG W IX WEITER REGEN REGEN VIER ZWANZIG STUNDE STUNDE
01December_2011_Thursday_heute_default-2|01December_2011_Thursday_heute_default-2/1/*.png|Signer05|REGION REGEN SAMSTAG DOCH MORGEN ABEND IX IRLAND __LEFTHAND__ __EMOTION__ SONNTAG REGEN REGEN DOCH VERBREITEN VERBREITEN VERBREITEN VERBREITEN
01December_2011_Thursday_heute_default-4|01December_2011_Thursday_heute_default-4/1/*.png|Signer05|BESONDERS BAYERN OST HIMMEL KLAR BISSCHEN NEBEL AUCH FROST
